trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
45	53.8916220664978	picture	0		133	43.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0671_fw.png	163.21229696273804	1.1110649108886719
45	54.991122007369995	response	0	k		43.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0671_fw.png	164.31179690361023	
46	55.002686977386475	picture	0		85	44.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0843_fw.png	164.3233618736267	0.7083520889282227
46	55.69940996170044	response	0	j		44.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0843_fw.png	165.02008485794067	
47	55.7110390663147	picture	0		124	45.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0292_fw.png	165.03171396255493	1.0348169803619385
47	56.73281002044678	response	0	k		45.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0292_fw.png	166.053484916687	
48	56.745856046676636	picture	0		109	46.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2137_fw.png	166.06653094291687	0.9165630340576172
48	57.64943885803223	response	0	k		46.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2137_fw.png	166.97011375427246	
49	57.66241908073425	picture	0		93	47.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1120_fw.png	166.9830939769745	0.7869977951049805
49	58.433269023895264	response	0	j		47.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1120_fw.png	167.7539439201355	
50	58.44941687583923	picture	0		138	48.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2126_fw.png	167.77009177207947	1.1504721641540527
50	59.59106993675232	response	0	j		48.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2126_fw.png	168.91174483299255	
51	59.599889039993286	picture	0		90	49.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0639_fw.png	168.92056393623352	0.7577970027923584
51	60.3411009311676	response	0	j		49.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0639_fw.png	169.66177582740784	
52	60.357686042785645	picture	0		95	50.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2096_fw.png	169.67836093902588	0.8000249862670898
52	61.141589879989624	response	0	j		50.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2096_fw.png	170.46226477622986	
53	61.157711029052734	picture	0		138	51.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1129_fw.png	170.47838592529297	1.1505019664764404
53	62.299479961395264	response	0	k		51.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1129_fw.png	171.6201548576355	
54	62.308212995529175	picture	0		131	52.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0368_fw.png	171.6288878917694	1.0995230674743652
54	63.39165902137756	response	0	k		52.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0368_fw.png	172.7123339176178	
55	63.40773606300354	picture	0		148	53.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1686_fw.png	172.72841095924377	1.2416019439697266
55	64.63278198242188	response	0	k		53.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1686_fw.png	173.9534568786621	
56	64.64933800697327	picture	0		107	54.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0159_fw.png	173.9700129032135	0.8999760150909424
56	65.53277707099915	response	0	j		54.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0159_fw.png	174.85345196723938	
57	65.54931402206421	picture	0		104	55.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0391_fw.png	174.86998891830444	0.8700339794158936
57	66.40106105804443	response	0	k		55.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0391_fw.png	175.72173595428467	
58	66.4193480014801	picture	0		93	56.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1937_fw.png	175.74002289772034	0.7799849510192871
58	67.18322587013245	response	0	j		56.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1937_fw.png	176.50390076637268	
59	67.19933295249939	picture	0		90	57.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0252_fw.png	176.52000784873962	0.7546029090881348
59	67.94105505943298	response	0	j		57.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0252_fw.png	177.26172995567322	
60	67.95393586158752	picture	0		118	58.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0958_fw.png	177.27461075782776	0.9791991710662842
60	68.9244019985199	response	0	k		58.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0958_fw.png	178.24507689476013	
61	68.93313503265381	picture	0		101	59.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2165_fw.png	178.25380992889404	0.8495140075683594
61	69.76655387878418	response	0	j		59.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2165_fw.png	179.0872287750244	
62	69.78264904022217	picture	0		188	60.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0883_fw.png	179.1033239364624	1.5671119689941406
62	71.34116387367249	response	0	k		60.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0883_fw.png	180.66183876991272	
63	71.34976100921631	picture	0		144	61.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0908_fw.png	180.67043590545654	1.2013869285583496
63	72.54106187820435	response	0	j		61.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0908_fw.png	181.86173677444458	
64	72.55114793777466	picture	0		144	62.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1308_fw.png	181.8718228340149	1.2013771533966064
64	73.7410318851471	response	0	j		62.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1308_fw.png	183.06170678138733	
65	73.75252509117126	picture	0		213	63.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0388_fw.png	183.0731999874115	1.7777378559112549
65	75.5164749622345	response	0	k		63.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0388_fw.png	184.83714985847473	
66	75.53026294708252	picture	0		103	64.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0204_fw.png	184.85093784332275	0.8611400127410889
66	76.38265490531921	response	0	j		64.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0204_fw.png	185.70332980155945	
67	76.39140295982361	picture	0		78	65.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0276_fw.png	185.71207785606384	0.6527678966522217
67	77.02594590187073	response	0	j		65.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0276_fw.png	186.34662079811096	
68	77.04417085647583	picture	0		157	66.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0314_fw.png	186.36484575271606	1.3055131435394287
68	78.3409788608551	response	0	k		66.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0314_fw.png	187.66165375709534	
69	78.34968400001526	picture	0		86	67.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1750_fw.png	187.6703588962555	0.7222080230712891
69	79.05810189247131	response	0	j		67.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1750_fw.png	188.37877678871155	
70	79.07189202308655	picture	0		113	68.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0961_fw.png	188.39256691932678	0.9444179534912109
70	80.00764489173889	response	0	j		68.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0961_fw.png	189.32831978797913	
71	80.01630997657776	picture	0		89	69.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0167_fw.png	189.336984872818	0.7430729866027832
71	80.74933505058289	response	0	j		69.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0167_fw.png	190.07000994682312	
72	80.75938296318054	picture	0		130	70.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0325_fw.png	190.08005785942078	1.0833590030670166
72	81.8258888721466	response	0	k		70.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0325_fw.png	191.14656376838684	
73	81.84274196624756	picture	0		95	71.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1006_fw.png	191.1634168624878	0.7981729507446289
73	82.61752390861511	response	0	k		71.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1006_fw.png	191.93819880485535	
74	82.64091491699219	picture	0		125	72.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2070_fw.png	191.96158981323242	1.042022943496704
74	83.67433190345764	response	0	j		72.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2070_fw.png	192.99500679969788	
75	83.68293786048889	picture	0		111	73.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1666_fw.png	193.00361275672913	0.9307360649108887
75	84.59976601600647	response	0	j		73.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1666_fw.png	193.9204409122467	
76	84.61367392539978	picture	0		91	74.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0827_fw.png	193.93434882164001	0.7637181282043457
76	85.36597299575806	response	0	j		74.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0827_fw.png	194.6866478919983	
77	85.37739205360413	picture	0		86	75.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0158_fw.png	194.69806694984436	0.7152860164642334
77	86.0826940536499	response	0	j		75.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0158_fw.png	195.40336894989014	
78	86.09267807006836	picture	0		115	76.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0917_fw.png	195.4133529663086	0.9583029747009277
78	87.0342378616333	response	0	j		76.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0917_fw.png	196.35491275787354	
79	87.05098104476929	picture	0		86	77.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0449_fw.png	196.37165594100952	0.7153308391571045
79	87.75764608383179	response	0	j		77.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0449_fw.png	197.07832098007202	
80	87.76631188392639	picture	0		177	78.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0430_fw.png	197.08698678016663	1.4792261123657227
80	89.22619891166687	response	0	k		78.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0430_fw.png	198.5468738079071	
81	89.24553799629211	picture	0		93	79.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0311_fw.png	198.56621289253235	0.7845969200134277
81	90.00916385650635	response	0	j		79.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0311_fw.png	199.32983875274658	
82	90.03013491630554	picture	0		207	80.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0010_fw.png	199.35080981254578	1.729161024093628
82	91.74929594993591	response	0	k		80.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0010_fw.png	201.06997084617615	
83	91.75929594039917	picture	0		94	81.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1960_fw.png	201.0799708366394	0.7847030162811279
83	92.53262901306152	response	0	j		81.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1960_fw.png	201.85330390930176	
84	92.5439989566803	picture	0		118	82.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0425_fw.png	201.86467385292053	0.986069917678833
84	93.51630997657776	response	0	k		82.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0425_fw.png	202.836984872818	
85	93.53006887435913	picture	0		105	83.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1861_fw.png	202.85074377059937	0.8819551467895508
85	94.39931988716125	response	0	k		83.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1861_fw.png	203.7199947834015	
86	94.41202402114868	picture	0		139	84.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0568_fw.png	203.73269891738892	1.1597230434417725
86	95.55793404579163	response	0	k		84.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0568_fw.png	204.87860894203186	
87	95.57174706459045	picture	0		176	85.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0277_fw.png	204.8924219608307	1.47216796875
87	97.02574396133423	response	0	j		85.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0277_fw.png	206.34641885757446	
88	97.04391503334045	picture	0		106	86.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0723_fw.png	206.3645899295807	0.8819830417633057
88	97.91594886779785	response	0	j		86.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0723_fw.png	207.2366237640381	
89	97.92589807510376	picture	0		125	87.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1204_fw.png	207.246572971344	1.041579008102417
89	98.95762705802917	response	0	k		87.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1204_fw.png	208.2783019542694	
90	98.96747708320618	picture	0		130	88.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1486_fw.png	208.2881519794464	1.0834019184112549
90	100.03419494628906	response	0	k		88.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1486_fw.png	209.3548698425293	
91	100.05087900161743	picture	0		126	89.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1015_fw.png	209.37155389785767	1.0486509799957275
