trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
47	57.79871392250061	picture	0		114.0	45.0	/home/egter/Projects/stimuli/pictures/R_S_production_ID_5199636.png	90.92096495628357	0.9581849575042725
47	58.744003772735596	response	0	j		45.0	/home/egter/Projects/stimuli/pictures/R_S_production_ID_5199636.png	91.86625480651855	
48	58.75689888000488	picture	0		80.0	46.0	/home/egter/Projects/stimuli/pictures/n04238763_25524.JPEG	91.87914991378784	0.6734619140625
48	59.418967962265015	response	0	k		46.0	/home/egter/Projects/stimuli/pictures/n04238763_25524.JPEG	92.54121899604797	
49	59.43036079406738	picture	0		92.0	47.0	/home/egter/Projects/stimuli/pictures/n02988304_1974.JPEG	92.55261182785034	0.7639071941375732
49	60.185630798339844	response	0	k		47.0	/home/egter/Projects/stimuli/pictures/n02988304_1974.JPEG	93.3078818321228	
50	60.194267988204956	picture	0		78.0	48.0	/home/egter/Projects/stimuli/pictures/S_yt-yf4RdPKpSVc_44.png	93.31651902198792	0.6527729034423828
50	60.83569693565369	response	0	k		48.0	/home/egter/Projects/stimuli/pictures/S_yt-yf4RdPKpSVc_44.png	93.95794796943665	
51	60.84704089164734	picture	0		104.0	49.0	/home/egter/Projects/stimuli/pictures/S_pexels-kampus-production-5991896.png	93.9692919254303	0.8683249950408936
51	61.696006774902344	response	0	j		49.0	/home/egter/Projects/stimuli/pictures/S_pexels-kampus-production-5991896.png	94.8182578086853	
52	61.71536588668823	picture	0		82.0	50.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00743005.png	94.83761692047119	0.6871850490570068
52	62.39400100708008	response	0	k		50.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00743005.png	95.51625204086304	
53	62.40255093574524	picture	0		88.0	51.0	/home/egter/Projects/stimuli/pictures/n03272010_549.JPEG	95.5248019695282	0.7361040115356445
53	63.12733578681946	response	0	k		51.0	/home/egter/Projects/stimuli/pictures/n03272010_549.JPEG	96.24958682060242	
54	63.138654947280884	picture	0		265.0	52.0	/home/egter/Projects/stimuli/pictures/S_yt-i3-YlGenYmk_411.png	96.26090598106384	2.2083120346069336
54	65.33559584617615	response	0	j		52.0	/home/egter/Projects/stimuli/pictures/S_yt-i3-YlGenYmk_411.png	98.4578468799591	
55	65.34696698188782	picture	0		106.0	53.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00469000.png	98.46921801567078	0.8820679187774658
55	66.21899390220642	response	0	j		53.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00469000.png	99.34124493598938	
56	66.22903490066528	picture	0		96.0	54.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00323000.png	99.35128593444824	0.7985470294952393
56	67.01894497871399	response	0	j		54.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00323000.png	100.14119601249695	
57	67.02758193016052	picture	0		124.0	55.0	/home/egter/Projects/stimuli/pictures/R_S_yt-M_ApPnq00iE_67.png	100.14983296394348	1.0346839427947998
57	68.05229187011719	response	0	j		55.0	/home/egter/Projects/stimuli/pictures/R_S_yt-M_ApPnq00iE_67.png	101.17454290390015	
58	68.06226587295532	picture	0		95.0	56.0	/home/egter/Projects/stimuli/pictures/n04462240_5054.JPEG	101.18451690673828	0.7916200160980225
58	68.84394884109497	response	0	k		56.0	/home/egter/Projects/stimuli/pictures/n04462240_5054.JPEG	101.96619987487793	
59	68.85388588905334	picture	0		304.0	57.0	/home/egter/Projects/stimuli/pictures/n02489166_9884.JPEG	101.9761369228363	2.5347559452056885
59	71.37731194496155	response	0	k		57.0	/home/egter/Projects/stimuli/pictures/n02489166_9884.JPEG	104.4995629787445	
60	71.38864183425903	picture	0		139.0	58.0	/home/egter/Projects/stimuli/pictures/R_S_yt-VinOD6g7xEc_135.png	104.51089286804199	1.1597051620483398
60	72.53560400009155	response	0	j		58.0	/home/egter/Projects/stimuli/pictures/R_S_yt-VinOD6g7xEc_135.png	105.65785503387451	
61	72.54834699630737	picture	0		117.0	59.0	/home/egter/Projects/stimuli/pictures/R_S_yt-7K5X1G7Cpls_965.png	105.67059803009033	0.9723269939422607
61	73.5037899017334	response	0	j		59.0	/home/egter/Projects/stimuli/pictures/R_S_yt-7K5X1G7Cpls_965.png	106.62604093551636	
62	73.52067399024963	picture	0		83.0	60.0	/home/egter/Projects/stimuli/pictures/S_pexels-koolshooters-7327401_1.png	106.64292502403259	0.6943869590759277
62	74.2022488117218	response	0	j		60.0	/home/egter/Projects/stimuli/pictures/S_pexels-koolshooters-7327401_1.png	107.32449984550476	
63	74.21506094932556	picture	0		102.0	61.0	/home/egter/Projects/stimuli/pictures/S_-vPHq-7BJ70_15.png	107.33731198310852	0.8470959663391113
63	75.05228590965271	response	0	j		61.0	/home/egter/Projects/stimuli/pictures/S_-vPHq-7BJ70_15.png	108.17453694343567	
64	75.06215691566467	picture	0		125.0	62.0	/home/egter/Projects/stimuli/pictures/S_comp_H005_C012_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	108.18440794944763	1.0416779518127441
64	76.09394788742065	response	0	k		62.0	/home/egter/Projects/stimuli/pictures/S_comp_H005_C012_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	109.21619892120361	
65	76.10383486747742	picture	0		100.0	63.0	/home/egter/Projects/stimuli/pictures/n01798484_11429.JPEG	109.22608590126038	0.8333230018615723
65	76.92041182518005	response	0	k		63.0	/home/egter/Projects/stimuli/pictures/n01798484_11429.JPEG	110.04266285896301	
66	76.93715786933899	picture	0		90.0	64.0	/home/egter/Projects/stimuli/pictures/S_yt-W00vtWnXgIk_73.png	110.05940890312195	0.7500250339508057
66	77.6771788597107	response	0	j		64.0	/home/egter/Projects/stimuli/pictures/S_yt-W00vtWnXgIk_73.png	110.79942989349365	
